title,description,company,domain,skills,location,source,url
Autonomous Systems Engineer,"Design autonomous systems and robotics navigation stacks, integrating computer vision and sensor data for real-time control.",AutomatonWorks,Information Technology,"robotics & control systems,computer vision,algorithms & data structures",Remote,seed,https://example.com/jobs/autonomous-systems-engineer
IoT Systems Engineer,"Build internet of things and embedded systems solutions, integrating sensor networks with cloud computing and networking fundamentals.",SensorNet,Information Technology,"internet of things & embedded systems,networking fundamentals,python",Remote,seed,https://example.com/jobs/iot-systems-engineer
Embedded Software Engineer,"Develop firmware for embedded systems and iot sensor networks devices. Strong C++ and hardware debugging skills required.",SensorNet,Information Technology,"internet of things & embedded systems,c++",Remote,seed,https://example.com/jobs/embedded-software-engineer
Bioinformatics Scientist,"Apply bioinformatics and computational biology methods to genomics data, combining statistics and data analysis with domain expertise in biology.",GenomicsHealth,Information Technology,"bioinformatics & computational biology,statistics,data analysis",Remote,seed,https://example.com/jobs/bioinformatics-scientist
Computational Biologist,"Analyze genome sequencing data using bioinformatics and computational biology pipelines, applying machine learning where relevant.",GenomicsHealth,Information Technology,"bioinformatics & computational biology,machine learning,statistics",Remote,seed,https://example.com/jobs/computational-biologist
Computer Graphics Engineer,"Build real-time rendering and computer graphics and multimedia pipelines for interactive 3d applications using C++.",PixelForge Studios,Information Technology,"computer graphics & multimedia,c++,algorithms & data structures",Remote,seed,https://example.com/jobs/computer-graphics-engineer
AI Research Scientist,"Conduct applied research in machine learning, deep learning, and artificial intelligence, publishing results and prototyping in Python.",Frontier AI,Information Technology,"machine learning,deep learning,python,statistics",Remote,seed,https://example.com/jobs/ai-research-scientist
Deep Learning Research Engineer,"Design and train deep learning and neural network architectures using pytorch and tensorflow for computer vision and nlp applications.",Frontier AI,Information Technology,"deep learning,computer vision,natural language processing,python",Remote,seed,https://example.com/jobs/deep-learning-research-engineer
Big Data Platform Engineer,"Build and operate big data tools infrastructure using spark and hadoop, working closely with data engineers on distributed systems.",PipelineWorks,Information Technology,"big data tools,python,sql & relational databases",Remote,seed,https://example.com/jobs/big-data-platform-engineer
Mobile and Wireless Systems Engineer,"Design mobile computing and wireless networks solutions, integrating networking fundamentals with internet of things devices.",ConnectSphere,Information Technology,"networking fundamentals,internet of things & embedded systems",Remote,seed,https://example.com/jobs/mobile-wireless-engineer
Computer and Network Forensics Analyst,"Investigate security incidents using incident response and digital forensics techniques, with strong network security fundamentals.",Fortress Systems,Information Technology,"incident response,network security",Remote,seed,https://example.com/jobs/network-forensics-analyst
Quantitative Analyst,"Build statistical and machine learning models for financial analysis and trading strategies, requiring strong Python and statistics skills.",Capital Group,Finance,"statistics,machine learning,financial analysis,python",New York NY,seed,https://example.com/jobs/quantitative-analyst
Financial Data Scientist,"Apply machine learning and data analysis to financial data, building predictive models for investment and financial analysis teams.",FinData Corp,Finance,"machine learning,data analysis,financial analysis",Remote,seed,https://example.com/jobs/financial-data-scientist
Growth Data Analyst,"Analyze marketing and product data using data analysis and data visualization to identify growth opportunities and inform marketing strategy.",AdMetrics,Marketing,"data analysis,data visualization,marketing strategy",Remote,seed,https://example.com/jobs/growth-data-analyst
Business Intelligence Analyst,"Build reporting and data analysis dashboards using spreadsheet & reporting tools and sql to support operations decision-making.",Global Logistics,Operations,"data analysis,spreadsheet & reporting tools,sql & relational databases",Remote,seed,https://example.com/jobs/business-intelligence-analyst
Mechatronics Engineer,"Design robotics and control systems hardware combining mechanical engineering with embedded systems and project management.",AutomatonWorks,Engineering,"robotics & control systems,internet of things & embedded systems,project management",Detroit MI,seed,https://example.com/jobs/mechatronics-engineer
Robotics Hardware Engineer,"Design and prototype robotics hardware and control systems, collaborating with software teams on autonomous systems integration.",AutomatonWorks,Engineering,"robotics & control systems,project management",Detroit MI,seed,https://example.com/jobs/robotics-hardware-engineer
People Analytics Specialist,"Apply data analysis and statistics to workforce data, supporting human resources management decisions with data-driven insights.",PeopleFirst Inc,Human Resources,"data analysis,statistics,human resources management",Remote,seed,https://example.com/jobs/people-analytics-specialist
