title,description,source,job_id,company,location,url,posted_date,keyword_query,collection_domain,unified_domain
Civil Engineer,"This is a Direct Hire Authority (DHA) solicitation utilizing the DHA for Certain Personnel of the DoD Workforce to recruit and appoint qualified candidates to positions in the competitive service. About the Position: This is a Civil Engineer GS-0810-07/09/11/12 developmental position with the U.S. Army Corps of Engineers, Northwester Division (NWD), Kansas City District, Operations Division, Maintenance Engineering Section.",usajobs,CEDE-26-12968414-DHA,U.S. Army Corps of Engineers,Multiple Locations,https://www.usajobs.gov:443/job/875593900,2026-07-07T14:51:46.5830,software engineer,computer_science,
ENGINEER/SCIENTIST,"This is a public notice flyer to notify interested applicants of anticipated vacancies. Applications will not be accepted through this flyer. Interested applicants must follow the directions in the ""How to Apply"" section of this flyer to be considered. There may or may not be actual vacancies filled from this flyer. Notice of Result letters will not be sent to applicants who respond to this flyer.",usajobs,DE-12884121-26-JRT,Naval Sea Systems Command,"Dahlgren, Virginia",https://www.usajobs.gov:443/job/857832800,2026-02-17T09:23:37.9100,software engineer,computer_science,
IT Specialist (Applications Software),"This position is located in the National Oceanic and Atmospheric Administration (NOAA), National Ocean Service (NOS), with vacancies in Silver Spring, MD; Durham, NC; Norfolk, VA; Seattle, WA. This position is also announced under vacancy number NOS-26-13006930-DE, which is open to all US Citizens or Nationals. You must apply to both announcements if you want to be considered for both.",usajobs,NOS-26-13006929-ST,National Oceanic and Atmospheric Administration,Multiple Locations,https://www.usajobs.gov:443/job/876848200,2026-07-17T00:00:00.0000,software engineer,computer_science,
IT Specialist (Applications Software),"This position is located in the National Oceanic and Atmospheric Administration (NOAA), National Ocean Service (NOS), with vacancies in Silver Spring, MD; Durham, NC; Norfolk, VA; Seattle, WA. This position is also announced under vacancy number NOS-26-13006929-ST, which is open to Status Candidates. You must apply to both announcements if you want to be considered for both.",usajobs,NOS-26-13006930-DE,National Oceanic and Atmospheric Administration,Multiple Locations,https://www.usajobs.gov:443/job/876848300,2026-07-17T00:00:00.0000,software engineer,computer_science,
Engineering Technician,"This position is located in the United States Department of Agriculture (USDA), Agricultural Research Service (ARS), Field Organization, Plains Area (PA), National Bio and Agro-Defense Facility (NBAF), Manhattan, KS. In this position, the incumbent will serve as the Engineering Technician responsible for supervising, managing and ensuring the Computerized Maintenance Management System (CMMS) using Maximo software are in constant optimal operational condition.",usajobs,ARS-S26Y-12994556-GK,Agricultural Research Service,"Manhattan, Kansas",https://www.usajobs.gov:443/job/874948800,2026-07-01T00:00:00.0000,software engineer,computer_science,
Public Notice for Computer Engineer (Direct Hire),"Direct hiring authority for the 0854 series is being used to fill this position. Public Notices serve as a resume repository, and positions may or may not be filled from this announcement.",usajobs,AAC-FAA-26-PUB NOT-97374,Federal Aviation Administration,May be filled in various FAA duty locations,https://www.usajobs.gov:443/job/858636600,2026-02-24T00:00:00.0000,software engineer,computer_science,
Data Engineer,"DDI Data Engineers solve critical data challenges by building optimal data pipelines, analyzing and transforming data, and delivering data to systems to advance CIA's intelligence mission.",usajobs,24-12198900-6898/DIHD,Central Intelligence Agency,"Washington, District of Columbia",https://www.usajobs.gov:443/job/759326100,2025-10-01T00:00:00.0000,software engineer,computer_science,
ENGINEERING TECHNICIAN,"The primary purpose of the position is to plan, design, analyze, and layout of new construction as well as the conversion, remodeling, or modernization of existing VA buildings and facilities. The Engineering technician is responsible to act as a technical resource for the staff and a project engineer for complex projects at the Veterans Affairs Sierra Nevada Health Care System (VASNHCS) in Reno, NV.",usajobs,CBSW-12997445-26-BV,Veterans Health Administration,"Reno, Nevada",https://www.usajobs.gov:443/job/875332900,2026-07-02T18:07:37.8170,software engineer,computer_science,
Marine Engineer (Assistant/Associate) Professor,"This is a Full-Time Faculty Tenure-Track appointment in the Excepted Service, with an initial term not-to exceed two years. Reappointments to additional one- or two-year terms are possible. If Tenure is achieved (after four to six years), employment will be made permanent, provided a satisfactory performance appraisal is received annually.",usajobs,MARAD.MMA-2026-0003,Maritime Administration,"Kings Point, New York",https://www.usajobs.gov:443/job/848149900,2025-10-16T00:00:00.0000,software engineer,computer_science,
GENERAL ENGINEER,"This is a public notice flyer to notify interested applicants of anticipated vacancies. Applications will not be accepted through this flyer. Interested applicants must follow the directions in the ""How to Apply"" section of this flyer to be considered. There may or may not be actual vacancies filled from this flyer. Notice of Result letters will not be sent to applicants who respond to this flyer. A Cost-of-Living-Allowance (COLA) of 8.64% will be added to the stated salary.",usajobs,DE-13008108-26-CAS,"Commander, Navy Installations Command","Kauai Island, Hawaii",https://www.usajobs.gov:443/job/876767600,2026-07-16T00:00:00.0000,software engineer,computer_science,
Test and Evaluation Engineer-Direct Hire Authority,"Veteran's preference does not apply to DHA recruitment. Click on ""Learn more about this agency"" button below for more information. The primary purpose of this position is to plan, execute, and report assigned ground, air-to-air, and air-to-ground test programs, including the creation of all test documentation.",usajobs,AFMC-080103-13013852-CNC,Air Force Materiel Command,"Hurlburt Field, Florida",https://www.usajobs.gov:443/job/877111600,2026-07-17T16:12:29.6000,software engineer,computer_science,
Public Notice for General Engineer (Direct Hire),"Direct hiring authority for the 0801 series is being used to fill this position. Public Notices serve as a resume repository, and positions may or may not be filled from this announcement.",usajobs,AAC-FAA-26-PUB NOT-96467,Federal Aviation Administration,May be filled in various FAA duty locations,https://www.usajobs.gov:443/job/852270000,2025-12-12T00:00:00.0000,software engineer,computer_science,
INTERDISCIPLINARY ENGINEER/SCIENTIST,"You will serve as an Interdisciplinary Engineer/Scientist in the Research & Development Group, Spectrum Warfare Department of NAVAIRWARCENWPNDIV POINT MUGU.",usajobs,ST-13003479-26-DMF,Naval Air Systems Command,"Point Mugu, California",https://www.usajobs.gov:443/job/875903700,2026-07-14T00:00:00.0000,software engineer,computer_science,
MECHANICAL ENGINEER,"The PALACE Acquire Program offers you a permanent position upon completion of your formal training plan. As a Palace Acquire Intern you will experience both personal and professional growth while dealing effectively and ethically with change, complexity, and problem solving. The program offers a 3-year formal training plan with yearly salary increases. Promotions and salary increases are based upon your successful performance and supervisory approval.",usajobs,K-26-DHA-12874424-BJM,Air Education and Training Command,"Lackland AFB, Texas",https://www.usajobs.gov:443/job/855677700,2026-01-28T00:00:00.0000,software engineer,computer_science,
General Engineer (Chief Technology Officer),"This is a Direct Hire Authority (DHA) solicitation utilizing the OPM DHA for STEM positions, Cyber Security and Related Positions to recruit and appoint qualified candidates to positions in the competitive service. About the Position: Serves as the Chief Technology Officer (CTO) for the US ARMY JOINT COUNTER-UAS OFFICE EXECUTIVE DIVISION.",usajobs,DAHT-26-13006349-DHA,U.S. Joint Counter,"Alexandria, Virginia",https://www.usajobs.gov:443/job/876444500,2026-07-15T00:00:00.0000,software engineer,computer_science,
COOPERATIVE ENGAGEMENT CAPABILITY SYSTEMS ENGINEER,"This is a public notice flyer to notify interested applicants of anticipated vacancies. Applications will not be accepted through this flyer. Interested applicants must follow the directions in the ""How to Apply"" section of this flyer to be considered. There may or may not be actual vacancies filled from this flyer. Notice of Result letters will not be sent to applicants who respond to this flyer.",usajobs,DE-12820279-26-BWH,Naval Sea Systems Command,"Dahlgren, Virginia",https://www.usajobs.gov:443/job/848468700,2025-10-21T00:00:00.0000,software engineer,computer_science,
Civil Engineer - Structural - DIRECT HIRE,"This position is in the Technical Services Branch of the Central Federal Lands Highway Division and responsible for performing duties related to designing and developing plans, specifications, and estimates for bridges, large culverts, viaducts, and retaining walls on federally owned lands in a multi-state area. Serves as technical support and helps develop, promote, and apply sound planning, inspection, design, construction, rehabilitation, and maintenance practices related to structures.",usajobs,FHWA.CFL-2026-0009,Federal Highway Administration,"Lakewood, Colorado",https://www.usajobs.gov:443/job/866358000,2026-04-24T00:00:00.0000,software engineer,computer_science,
Civil Engineer (Highway) (Design) - DIRECT HIRE,"As a Highway Design Engineer, you will design transportation infrastructure for National Parks, Forests, and Wildlife Refuges and develop the plans, specifications, and estimates (PS&E) packages for advertisement and construction. Since the 1900s, Federal Lands Highway has delivered innovative transportation solutions in complex, unique environments. Join our team and make a difference! Learn more: https://highways.dot.gov/federal-lands/careers. We work where you play!",usajobs,FHWA-2026-0002,Federal Highway Administration,Multiple Locations,https://www.usajobs.gov:443/job/866884700,2026-04-27T00:00:00.0000,software engineer,computer_science,
Electrical Engineer,"About the Position: The Walla Walla District US Army Corps of Engineers is comprised of motivated and talented employees providing the very best engineering services for communities in the Pacific Northwest. The District helps manage local water resources for navigation, flood damage reduction, disaster assistance, hydroelectric power generation, and other natural and heritage areas",usajobs,CEDE-26-13007355 MP,U.S. Army Corps of Engineers,"Walla Walla, Washington",https://www.usajobs.gov:443/job/877115200,2026-07-16T00:00:00.0000,software engineer,computer_science,
Capabilities Development Specialist,"Are you a computer science or computer/electrical engineering professional? Do you have strong software or hardware design, development, testing or reverse engineering skills? Do you want to be part of a team that develops ground breaking solutions?",usajobs,1259766,National Security Agency/Central Security Service,"Fort Meade, Maryland",https://www.usajobs.gov:443/job/876220400,2026-07-13T07:38:41.3870,software engineer,computer_science,
IT Specialist (InfoSec),"This position is located in the Department of Health and Human Services, Health Resources and Services Administration, headquartered in Rockville, Maryland. This announcement will close at 11:59 PM, on the day that 50 applications have been received or the closing date of the announcement, whichever comes first.",usajobs,HHS-HRSA-DH-26-12982340,Health Resources and Services Administration,"Rockville, Maryland",https://www.usajobs.gov:443/job/876318900,2026-07-14T00:00:00.0000,software engineer,computer_science,
"Electronics Engineer, OPIR Sustainment",Do not email applications. To submit your resume for this Direct Hire opportunity click here. For additional information on other USSF direct hire opportunities visit the Air Force Civilian Careers Space Force website and follow USSF on LinkedIn.,usajobs,SF-FY26-6S-NH-855-3-SPLASH,Space Systems Command,"Peterson AFB, Colorado",https://www.usajobs.gov:443/job/876733500,2026-07-15T00:00:00.0000,software engineer,computer_science,
SOFTWARE DEVELOPER/DATA SCIENTIST (INTERDISCIPLINARY) - DIRECT HIRE AUTHORITY,"Click on ""Learn more about this agency"" button below to view Eligibilities being considered and other IMPORTANT information. The primary purpose of this position is to develop, modify, secure, and automate software, analytical methodologies, and processes; and advance computing technologies using state-of-the-art industry best practices",usajobs,AFMC-854155002-12968873-KAS,"Air Force Elements, U.S. Strategic Command","Dahlgren, Virginia",https://www.usajobs.gov:443/job/870514400,2026-05-26T00:00:00.0000,software engineer,computer_science,
Interdisciplinary,"This is a Direct Hire Authority (DHA) solicitation utilizing the DHA for Certain Personnel of the DoD Workforce to recruit and appoint qualified candidates to positions in the competitive service. About the Position: Serves as senior Cost Engineer on engineering cost estimates for planning design and execution of construction by contract projects. Responsible for the preparation of construction cost estimates for all architectural, and engineering features and reviews the estimates.",usajobs,CEDD-26-12994723-DHA,U.S. Army Corps of Engineers,"Elmendorf AFB, Alaska",https://www.usajobs.gov:443/job/875142500,2026-07-02T00:00:00.0000,software engineer,computer_science,
ARCHITECT,"Click on ""Learn more about this agency"" button below to view Eligibilities being considered and other IMPORTANT information. The primary purpose of this position is: This is a formal Air Force intern position, established under the PALACE Acquire (PAQ) program which is under the Pathways Recent Graduate Program. This position is centrally managed and funded by the Air Force Personnel Center, Civilian Career Management Directorate and administered by the Civil Engineer Career Team.",usajobs,D-26-DHA-12801669-KLB,Air Force Civilian Career Training,"Seymour Johnson AFB, North Carolina",https://www.usajobs.gov:443/job/850081500,2025-11-14T07:42:52.6130,software engineer,computer_science,
Civil Engineer,"About the Position: The Senior Engineer is responsible for the research, analysis, scope, content, and accuracy of installation out loading capability studies, ports for national defense studies, OCONUS ports, and special joint operational and strategic mobility planning studies.",usajobs,MCGT-26-13014104-MP,ARMY TRANSPORTATION,"Scott AFB, Illinois",https://www.usajobs.gov:443/job/877199000,2026-07-20T11:34:09.7270,software engineer,computer_science,
Civil Engineer,"This is a Direct Hire Authority (DHA) solicitation utilizing the DHA for Certain Personnel of the DoD Workforce to recruit and appoint qualified candidates to positions in the competitive service. About the Position: The Senior Engineer is responsible for the research, analysis, scope, content, and accuracy of installation out loading capability studies, ports for national defense studies, OCONUS ports, and special joint operational and strategic mobility planning studies.",usajobs,MCGT-26-13014102-DHA,ARMY TRANSPORTATION,"Scott AFB, Illinois",https://www.usajobs.gov:443/job/877199500,2026-07-20T11:36:21.4200,software engineer,computer_science,
Healthcare Engineer (Energy),"The incumbent functions as Energy Manager for the North Texas VA Healthcare System, inclusive of Medical Center (VA) owned and leased space including Outpatient Clinics, CBOCs or administrative space operated by the Medical Center. The Energy Manager will work in a collaborative effort with other Energy Managers within their VISN toward accomplishing VISN wide and VHA energy goals.",usajobs,CAZM-13003301-26-CRW,Veterans Health Administration,"Dallas, Texas",https://www.usajobs.gov:443/job/876521300,2026-07-14T16:29:02.7700,software engineer,computer_science,
Public Notice for Aerospace Engineer (Direct Hire),"Direct hiring authority for the 0861 series is being used to fill this position. Public Notices serve as a resume repository, and positions may or may not be filled from this announcement.",usajobs,AAC-FAA-26-PUB NOT-96673,Federal Aviation Administration,May be filled in various FAA duty locations,https://www.usajobs.gov:443/job/852274600,2025-12-12T00:00:00.0000,software engineer,computer_science,
General Engineer-Direct Hire Authority,"Veteran's preference does not apply to DHA recruitment. Click on ""Learn more about this agency"" button below for more information. The primary purpose of this position is to support the overall effort for building and delivering the org as a modeling and simulation capability as part of the AFTC test & evaluation portfolio.",usajobs,AFMC-080103-12996908-CNC,Air Force Materiel Command,Multiple Locations,https://www.usajobs.gov:443/job/874781400,2026-06-30T00:00:00.0000,software engineer,computer_science,
Network Engineer-Engineer Level (Wireless) #166,The Senate Sergeant at Arms is seeking a Wireless Network Engineer #166. The complete vacancy announcement and application can be found on the United States Senate Career Page at https://sen.gov/1VNZQ. This vacancy announcement closes at 7pm EST on the closing date. Late applications will not be accepted.,usajobs,req1030,Senate,"Washington, District of Columbia",https://www.usajobs.gov:443/job/876450800,2026-07-14T13:00:32.7500,software engineer,computer_science,
GENERAL ENGINEER/ARCHITECT (SENIOR PROJECT MANAGER),"You will serve as a Senior Project Manager in Project Management Team 2, Programs & Project Management Division, Planning, Design & Construction Directorate of Naval Facilities Engineering Systems Command (NAVFAC) Mid-Atlantic.",usajobs,ST-13005803-26-CJW,Naval Facilities Engineering Systems Command,"Naval Base, Norfolk, Virginia",https://www.usajobs.gov:443/job/876754900,2026-07-17T00:00:00.0000,software engineer,computer_science,business
Fire Protection Engineer,"This position is a Fire Protection Engineer who provides direct project management, technical direction and program execution support to the National Airspace System field units. Reports directly to the Technical Operations, Technical Services Organization, Environmental Occupational Safety and Health (EOSH) Support Operations Group (EOSG), EOSH Program Support Center.",usajobs,ACT-ATO-26-AJWE21C-99442,Federal Aviation Administration,Multiple Locations,https://www.usajobs.gov:443/job/875848800,2026-07-10T00:00:00.0000,software engineer,computer_science,business
CIVIL ENGINEER,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information.",usajobs,AFPC-STEMDHA-12857453-0810,Department of the Air Force - Agency Wide,Multiple Locations,https://www.usajobs.gov:443/job/853061700,2025-12-22T13:20:27.6700,software engineer,computer_science,
Public Notice for Mechanical Engineer (Direct Hire),"Direct hiring authority for the 0830 series is being used to fill this position. Public Notices serve as a resume repository, and positions may or may not be filled from this announcement.",usajobs,AAC-FAA-26-PUB NOT-97372,Federal Aviation Administration,May be filled in various FAA duty locations,https://www.usajobs.gov:443/job/858633700,2026-02-24T00:00:00.0000,software engineer,computer_science,
Public Notice for Electronics Engineer (Direct Hire),"Direct hiring authority for the 0855 series is being used to fill this position. Public Notices serve as a resume repository, and positions may or may not be filled from this announcement.",usajobs,AAC-FAA-26-PUB NOT-97378,Federal Aviation Administration,May be filled in various FAA duty locations,https://www.usajobs.gov:443/job/858672400,2026-02-24T12:13:03.0970,software engineer,computer_science,
Safety & Occupational Health Manager,"This position is located under the Office of the Associate Director at the Tuscaloosa VA Medical Center, where the incumbent serves as the Supervisory Safety and Occupational Health Manager (Safety Manager), providing services for a Level 3 Complexity encompassing 125-acre campus and CBOC/ Outreach Clinics for Selma, Demopolis, Fayette, Hamilton, and University of Alabama.",usajobs,CBTB-13004432-26-MD,Veterans Health Administration,"Tuscaloosa, Alabama",https://www.usajobs.gov:443/job/876962500,2026-07-17T08:17:58.5870,software engineer,computer_science,
"Systems Engineer, SYD 81",Do not email applications. To submit your resume for this Direct Hire opportunity click here. For additional information on other USSF direct hire opportunities visit the Air Force Civilian Careers Space Force website and follow USSF on LinkedIn.,usajobs,SF-FY26-6S-NH-0801-3-SPLASH,Space Systems Command,"San Antonio, Texas",https://www.usajobs.gov:443/job/876444600,2026-07-14T12:53:30.3200,software engineer,computer_science,
General Engineer (Electrical) - DIRECT HIRE,"The Electrical Engineer performs duties involving analysis, troubleshooting, design, specification writing, drawing preparation, and cost estimating on projects/systems in the electrical, electronics and controls fields. These duties are primarily associated with the operation, maintenance and improvement of the St. Lawrence Seaway locks and related facilities owned by the U.S. DOT. Familiarity with related engineering fields, such as mechanical and civil, is also required.",usajobs,GLS.ENG-2026-0002,Great Lakes Saint Lawrence Seaway Development Corporation,"Massena, New York",https://www.usajobs.gov:443/job/861936000,2026-03-23T00:00:00.0000,software engineer,computer_science,
General Engineer (Inspector) (Control Room Management) - DIRECT HIRE,The incumbent of this position serves as a General Engineer (Inspector) within anywhere in the US and reports to a Regional Office of the Office of Pipeline Safety in support of the national Control Room Management program.,usajobs,PHMSA.PSRG-2026-0018,Pipeline and Hazardous Materials Safety Administration,Anywhere in the U.S. (remote job),https://www.usajobs.gov:443/job/875440800,2026-07-06T00:00:00.0000,software engineer,computer_science,
GENERAL ENGINEER,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information.",usajobs,AFPC-STEMDHA-12857410-0801,Department of the Air Force - Agency Wide,Multiple Locations,https://www.usajobs.gov:443/job/853050700,2025-12-22T12:24:13.6800,software engineer,computer_science,
Geodetic Surveyor (Open Continuous),"Geodetic Surveyors perform geodetic, geophysical, and GC-LiDAR surveys. They use, maintain, and troubleshoot survey equipment, and compute, adjust, and evaluate geodetic and geophysical (G&G) survey data. They provide technical expertise on G&G issues to customers and represent NGA in external community forums.",usajobs,20260175,National Geospatial-Intelligence Agency,Multiple Locations,https://www.usajobs.gov:443/job/867693700,2026-05-01T00:00:00.0000,software engineer,computer_science,
GENERAL ENGINEER-DIRECT HIRE AUTHORITY,"Click on ""Learn more about this agency"" button below to view Eligibilities being considered and other IMPORTANT information. The primary purpose of this position is to serve as the primary point of contact for Range customers' data support and acts as the interface between customers, range personnel, and the range contractor on data-related matters; responsible for managing Range data support for test programs/projects including long and short-range project support planning.",usajobs,AFMC-INTERDIS-12918641-ALC,Air Force Materiel Command,"Hill AFB, Utah",https://www.usajobs.gov:443/job/863464900,2026-04-01T11:04:48.2100,software engineer,computer_science,
BIOLOGICAL SCIENTIST (ENVIRONMENTAL) (INTERDISCIPLINARY),"Click on ""Learn more about this agency"" button below to view Eligibilities being considered and other IMPORTANT information.",usajobs,9S-AFPC-12998757-335495-JTG,Air Mobility Command,"Scott AFB, Illinois",https://www.usajobs.gov:443/job/876174500,2026-07-14T00:00:00.0000,software engineer,computer_science,
IT Specialist (APPSW) - .NET - DHA,"IT Specialist (APPSW) - .NET position(s) are being filled through the Office of Personnel Management's delegated Direct Hire Authority, open to all U.S. citizens. Selections made under this bulletin will be processed as new appointments to the civil service. Current civil service employees would, therefore, be given new appointments to the civil service. Under the provisions of the Direct Hire Authority, Veterans Preference and the ""Rule of Many"" do not apply.",usajobs,SSA-12925792-DHA-26-CIO,Social Security Administration,Multiple Locations,https://www.usajobs.gov:443/job/865188800,2026-04-15T00:00:00.0000,software engineer,computer_science,
Safety & Occupational Health Specialist,"This position is located in the Department of Veterans Affairs Health Administration, South Central Veterans Affairs Health Care Network, Veterans Integrated Service Network (16), Southeast Louisiana Veterans Health Care System, Office of the Associate Director, Safety Management Section, New Orleans, LA. The work involves the management, administration, and operation of a construction safety program.",usajobs,CBST-13000524-26-KC,Veterans Health Administration,"New Orleans, Louisiana",https://www.usajobs.gov:443/job/876586700,2026-07-15T09:43:25.6770,software engineer,computer_science,
"PUBLIC NOTICE - Airway Transportation Systems Specialist (G- ENV, RAD, NAV, AUT, COM & F ENTRY)","This position is an entry-level Airway Transportation Systems Specialist (ATSS). All duties of an ATSS are tied to maintaining safe and efficient operating capacity of the vast and complex network or electronics systems required for the world's largest air traffic control and navigation system. ATSS personnel install, evaluate, maintain, modify and certify facilities, services and equipment that support the National Airspace System (NAS).",usajobs,FAA-AHF-26-PUB NOT-97750,Federal Aviation Administration,May be filled in various FAA duty locations,https://www.usajobs.gov:443/job/862553500,2026-04-01T00:00:00.0000,software engineer,computer_science,
Biomedical Equipment Support Specialist,"This position is located at the Corporal Michael J. Crescenz VA Medical Center, Philadelphia. The Biomedical Equipment Support Specialist (BESS) provides clinical and administrative support to staff, patients, and administrators for all matters of concern relating to the facility wide lifecycle management of medical equipment. Biomedical support requires the application of engineering and mechanical concepts.",usajobs,CBSZ-13003570-26-SC,Veterans Health Administration,"Philadelphia, Pennsylvania",https://www.usajobs.gov:443/job/876234700,2026-07-13T09:17:11.4330,software engineer,computer_science,
Senior Programmer/Analyst,"Join a collaborative, highly motivated, and leading-edge IT team that is in the forefront of spearheading and advancing the most innovative and newest technologies, so that the federal judiciary better may administer justice for all. The team you would join is responsible for designing, developing, and supporting multiple software products, including those at the national level. Both on- and off-site training opportunities are encouraged.",usajobs,DE-12981645-26-AB,U.S. Courts,"Richmond, Virginia",https://www.usajobs.gov:443/job/872679000,2026-06-05T00:00:00.0000,computer programmer,computer_science,
SUPPLY SYSTEMS ANALYST,You will serve as a Supply Systems Analyst in the Material Management Department (MMD) of NAVSUP FLEET LOGISTICS CENTER NORFOLK.,usajobs,ST-13005531-26-GMK,Naval Supply Systems Command,"Naval Air Station Patuxent River, Maryland",https://www.usajobs.gov:443/job/876261700,2026-07-15T08:44:40.4300,systems analyst,computer_science,
SUPPLY SYSTEMS ANALYST,"THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. This National Guard position is for a SUPPLY SYSTEMS ANALYST, Position Description Number D1402P01 and is part of the 174TH ATKW, National Guard. This vacancy does not meet the criteria for appointment of annuitants.",usajobs,NY-12991433-AF-T32026-408,Air National Guard Units,"Syracuse, New York",https://www.usajobs.gov:443/job/875347900,2026-07-06T07:28:21.4030,systems analyst,computer_science,
SUPPLY SYSTEMS ANALYST,"This National Guard position is for a SUPPLY SYSTEMS ANALYST, Position Description Number D0911000 and is part of USPFO AMMO SUPPLY POINT, Hastings, Nebraska Army National Guard.",usajobs,NE-12861737-AR-26-017,Army National Guard Units,"Hastings, Nebraska",https://www.usajobs.gov:443/job/854510900,2026-01-14T14:10:46.3270,systems analyst,computer_science,
Supply Systems Analyst,"Serves as a Supply Systems Analyst for the VISN Supply Chain Office, providing analytical, administrative, and technical support for supply chain operations. Analyzes acquisition, logistics, inventory, and business processes; develops reports and recommendations; monitors performance measures; supports process improvement initiatives; and provides guidance to leadership and facility staff to improve operational efficiency and customer service. Location negotiable within VISN 2, upon selection.",usajobs,CBTE-13004103-26-DMB,Veterans Health Administration,Multiple Locations,https://www.usajobs.gov:443/job/876333500,2026-07-14T00:00:00.0000,systems analyst,computer_science,business
SUPPLY SYSTEMS ANALYST,See below for important information regarding this job.,usajobs,DLADist-26-13007471-MP,Defense Logistics Agency,"Robins AFB, Georgia",https://www.usajobs.gov:443/job/876669200,2026-07-15T14:15:08.1500,systems analyst,computer_science,
